headword_slp1	headword_iast	root_slp1	root_iast	confidence
gopana	gopana	gup	gup	high
grahaRa	grahaṇa	grah	grah	high
GarzaRa	gharṣaṇa	Gfz	ghṛṣ	high
GAtana	ghātana	han	han	high
cakita	cakita	cak	cak	high
caraRa	caraṇa	car	car	high
calana	calana	cal	cal	high
calana	calana	cal	cal	high
cAlana	cālana	cal	cal	high
cit	cit	cit	cit	high
citta	citta	cit	cit	high
citya	citya	ci	ci	high
cukkAra	cukkāra	kf	kṛ	high
Ceda	cheda	Cid	chid	high
Cedana	chedana	Cid	chid	high
janana	janana	jan	jan	high
jani	jani	jan	jan	high
janya	janya	jan	jan	high
jApana	jāpana	jap	jap	high
jIvita	jīvita	jIv	jīv	high
jUti	jūti	ju	ju	high
jfmBaRa	jṛmbhaṇa	jfmB	jṛmbh	high
joza	joṣa	juz	juṣ	high
wIkA	ṭīkā	wIk	ṭīk	low
tapana	tapana	tap	tap	high
tara	tara	tF	tṝ	high
tara	tara	tF	tṝ	high
tara	tara	tF	tṝ	high
tarka	tarka	tark	tark	high
tarjana	tarjana	tarj	tarj	high
tAqa	tāḍa	taq	taḍ	high
totra	totra	tud	tud	high
toda	toda	tud	tud	high
todana	todana	tud	tud	high
tyAga	tyāga	tyaj	tyaj	high
daMSana	daṃśana	daMS	daṃś	high
dadana	dadana	dA	dā	high
damana	damana	dam	dam	high
dara	dara	dF	dṝ	high
dalana	dalana	dal	dal	high
dAda	dāda	dA	dā	high
dApya	dāpya	dA	dā	high
dizwi	diṣṭi	diS	diś	high
dizwyA	diṣṭyā	diS	diś	high
duzpAna	duṣpāna	pA	pā	high
dfzwi	dṛṣṭi	dfS	dṛś	high
dyota	dyota	dyut	dyut	high
dyotana	dyotana	dyut	dyut	high
drava	drava	dru	dru	high
droha	droha	druh	druh	high
DaraRa	dharaṇa	Df	dhṛ	high
Darmmacintana	dharmmacintana	cint	cint	high
DmAkAra	dhmākāra	DmA	dhmā	high
DvaMsa	dhvaṃsa	DvaMs	dhvaṃs	high
DvaMsana	dhvaṃsana	DvaMs	dhvaṃs	high
DvAna	dhvāna	Dvan	dhvan	high
nati	nati	nam	nam	high
nadDrI	naddhrī	nah	nah	high
nanda	nanda	nand	nand	high
nAha	nāha	nah	nah	high
niHsaraRa	niḥsaraṇa	sf	sṛ	high
nicaya	nicaya	ci	ci	high
niDAna	nidhāna	DA	dhā	high
niDyAna	nidhyāna	DyE	dhyai	high
nipAta	nipāta	pat	pat	high
nimajjana	nimajjana	masj	masj	high
nimIlana	nimīlana	mIl	mīl	high
niyati	niyati	yam	yam	high
niyogya	niyogya	yuj	yuj	high
nirAsa	nirāsa	as	as	high
niroDa	nirodha	ruD	rudh	high
nirbba	nirbba	banD	bandh	high
nirmmA	nirmmā	mA	mā	high
nirvva	nirvva	vap	vap	high
nirvva	nirvva	vah	vah	high
nirvfti	nirvṛti	vf	vṛ	high
nirveda	nirveda	vid	vid	high
niveSa	niveśa	viS	viś	high
nizeka	niṣeka	sic	sic	high
nizkASa	niṣkāśa	kaS	kaś	high
nIrAjana	nīrājana	rAj	rāj	high
paRana	paṇana	paR	paṇ	high
para	para	pF	pṝ	high
para	para	pF	pṝ	high
parAkrama	parākrama	kram	kram	high
parAsana	parāsana	as	as	high
parikrama	parikrama	kram	kram	high
paryyApta	paryyāpta	Ap	āp	high
pAWa	pāṭha	paW	paṭh	high
pARa	pāṇa	paR	paṇ	high
prAti	prāti	BU	bhū	high
