dict,L_id,headword,headword_slp1,root,root_slp1,karaka,karaka_sense,affix,affix_slp1,context,audit_status,auditor_notes
AP,12971,koṇaḥ,koRaH,kuṇ,kuR,kartari,agent (kartari),ac,ac,{#koRaH#}¦ [{#kuR-karaRe GaY karttari ac vA#},,
AP,13910,galaḥ,galaH,gal,gal,karaRe,instrument (karaṇe),ac,ac,{#galaH#}¦ [{#gal-BakzaRe bA˚ karaRe ac#}] ∙,,
AP,14884,cālanam,cAlanam,cal,cal,BAve,action / abstract (bhāve),lyuṭ,lyuw,{#cAlanam#}¦ [{#cal-Ric BAve lyuw#}] ∙,,
AP,14932,cit,cit,cit,cit,BAve,action / abstract (bhāve),kvip,kvip,it#}¦ {%<lex>f.</lex>%} [{#cit-saMpadA˚ BAve kvip#}] ∙,,
AP,15667,jīvanīya,jIvanIya,jīv,jIv,karaRe,instrument (karaṇe),anīyar,anIyar,IvanIya#}¦ {%<lex>a.</lex>%} [{#jIv-bA˚ karaRe anIyar#}] ∙,,
AP,16377,tāra,tAra,tṝ,tF,BAve,action / abstract (bhāve),ac,ac,{#tAra#}¦ {%<lex>a.</lex>%} [{#tF-Ric BAve ac#}] ∙,,
AP,16425,tikta,tikta,tij,tij,kartari,agent (kartari),kta,kta,{#tikta#}¦ {%<lex>a.</lex>%} [{#tij-bA˚ kartari kta#}] ∙,,
AP,16844,trāsana,trAsana,tras,tras,BAve,action / abstract (bhāve),lyuṭ,lyuw,rAsana#}¦ {%<lex>a.</lex>%} [{#tras-Ric BAve lyuw#}] T,,
AP,16951,daṃśaḥ,daMSaH,daṃś,daMS,BAve,action / abstract (bhāve),ghañ,GaY,{#daMSaH#}¦ [{#daMS-ac BAve GaY vA#},,
AP,18248,nagna,nagna,naj,naj,kartari,agent (kartari),kta,kta,{#nagna#}¦ {%<lex>a.</lex>%} [{#naj-na-kartari kta tasy,,
AP,19937,para,para,pṝ,pF,kartari,agent (kartari),ac,ac,"ara#}¦ {%<lex>a.</lex>%} [{#pF-BAve-ap, kartari ac-vA#}",,
AP,21690,pūtiḥ,pUtiH,pū,pU,BAve,action / abstract (bhāve),ktin,ktin,tiH#}@}¦ {%<lex>f.</lex>%} [{#pU-pUy vA BAve ktin#}] ∙,,
AP,243,agnidamanī,agnidamanI,dam,dam,karaRe,instrument (karaṇe),lyuṭ,lyuw,nI#}¦ [{#agnirdamyate'nayA#}; {#dam-Ric karaRe lyuw#}] a,,
AP,305,aṅgahāraḥ,aNgahAraH,hṛ,hf,BAve,action / abstract (bhāve),ghañ,GaY,"tastataH cAlyate yatra, hf-ADAre#} or {#BAve GaY#}] g",,
AP,305,aṅgalepaḥ,aNgalepaH,lip,lip,BAve,action / abstract (bhāve),ghañ,GaY,e GaY#}] ∙²1 a scented cosmetic. ∙²2 [{#BAve GaY#}] a,,
AP,305,aṅgamardaḥ,aNgamardaH,mṛd,mfd,BAve,action / abstract (bhāve),ghañ,GaY,who shampoos his masterʼs body. ∙²2 [{#BAve GaY#}] a,,
